"%s day","%s dag"
"%s days","%s dager"
"%s hour","%s time"
"%s hours","%s timer"
"%s minute","%s minutt"
"%s minutes","%s minutter"
"%s must be set.","%s må være angitt."
"%s must not be blank","%s Må ikke være blank"
"-- Please Select --","-- Vennligst velgt --"
"-- Product names --","-- Produkt navn --"
"Access token for requests from Porterbuddy","Porterbuddy tilgangstoken"
"Add","Legg til"
"Added for phone numbers without phone code, e.g. ""12 34 56 78"" instead of ""+47 12 34 56 78""","Standard landekode for telefonummer (feks ""+47"")"
"Added to shipping method in order view","Lagt til forsendelsesmetode i ordrevindu"
"Allowed Postcodes","Tillatte postnumre"
"API Error Notification","API feilmelding"
"API Key (Development)","API Key (Utvikling)"
"API Key (Production)","API Key (Produksjon)"
"API Key (Testing)","API nøkkel (Testing)"
"API Secret (Development)","API Secret (utvikling)"
"API Secret (Production)","API Secret (Produksjon)"
"API Secret (Testing)","API hemmelig (Testing)"
"Are you sure? Old token will stop working.","Er du sikker? Eksisterende token vil slutte å fungere."
"ASAP Name","ASAP Tittel"
"Availability Change Popup Description","Tilgjengelig endring av popup-beskrivelse"
"Availability Change Popup Title","Tilgjengelig endring av popup-tittel"
"Availability Text Template","Tilgjengelig tekstmal"
"Availability Widget Settings","Tilgjengelig Widget Settinger"
"Available Days Ahead","Tilgjengelig antall dager frem i tid"
"Both Magento errors - misconfiguration, bad products etc - and Porterbuddy API failures","Både Magento-feil - feilkonfigurasjon, dårlige produkter etc - og Porterbuddy API-feil"
"Browser location API lookup","Browser location API lookup"
"Can use {{date}}, {{countdown}} placeholders","Kan bruke {{date}}, {{countdown}} plassholdere"
"Can use {{formatted_price}} placeholder","Kan bruke {{formatted_price}} plassholder"
"Can use {{formatted_price}} placeholder.","Kan bruke {{formatted_price}} placeholder."
"Cannot extract geoip archive","Kan ikke trekke ut geoiparkivet"
"Cannot find database in geoip archive","Kan ikke finne database i geoiparkiv"
"Cannot find suitable delivery date","Kan ikke finne passende leveringsdato"
"Cannot move geoip extracted database","Kan ikke flytte geoip database"
"Centimeter","Centimeter"
"Check %sStore Contact Phone%s","Sjekk %sStore Contact Phone%s"
"Checkbox text on checkout widget","Checkbox tekst på checkout widget"
"Checkout Widget Settings","Utsjekk Widget Settinger"
"Choose Timeslot Later Name","Velg Timeslot deretter navn"
"Close","Lukk"
"Comment to courier text","Tekst for kommentar til bud"
"Connection error - %s","Tilkoblingsfeil -% s"
"Could not find matching container, weight %s kg, volume %s cm³.","Kunne ikke finne passende container, weight %s kg, volume %s cm³."
"Create order error","Opprettelse av ordre feilet"
"Create shipment automatically","Opprett frakt automatisk"
"Creating Shipment","Oppretter forsendelse"
"Cut-off time between Express delivery and the next available time slot.","Cut-off mellom Express-levering og neste tilgjengelige time slot "
"Debug","Feilsøking"
"Default admin user for contact information","Default administrasjonsbruker for kontaktinformasjon"
"Default admin user used when automatically creating shipment. Firstname, lastname and email are used","Default administrasjonsbruker ved automatisk opprettelse av forsendelse. Fornavn, etternavn og epost benyttes."
"Default Phone Code","Standard telefonkode"
"Default Product Height","Standard produkthøyde"
"Default Product Length","Standard produktlengde"
"Default Product Weight","Standard produktvekt"
"Default Product Width","Standard produktbredde"
"Deliver to {{postcode}}","Leverers til {{postkode}}"
"Delivery timeslot %s expired","Leveringstidsluke% s utløpt"
"Description","Beskrivelse"
"Development","Utvikling"
"Dimension conversion error.","Dimensjonskonverteringsfeil."
"Dimension Unit","Størrelsesenhet"
